FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
4CBA,Finansal Borçlardaki Değişim,Change in Financial Debt,MIATK,1975471,1812289,1057751,732147,498727,736707,-418911,757812,1582866,3792239,4246550,1132357,1512437,4430395,7130464,445632,7665205,9763501,13109899,4619491,3969700,4001002
4CBB,Temettü Ödemeleri,Dividends Paid,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBC,Sermaye Artırımı,Rights Issue,MIATK,0,0,0,0,0,0,13968086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBD,Diğer Finansman Faaliyetlerinden Nakit,Cash from Other Financial Operations,MIATK,0,0,0,0,0,0,30959,0,0,0,0,0,0,7049226,0,0,0,-88893,0,0,0,-48813
4CBE,Finansman Faaliyetlerden Kaynaklanan Nakit,Cash from Financial Operations,MIATK,1975471,1812289,1057751,732147,498727,736707,13580135,757812,1582866,3792239,4246550,1132357,1512437,11479620,7130464,445632,7665205,9674608,13109899,4619491,3969700,3952189
4CBF,Yab. Para Çev. Fark. Etk. Önc.Nak.Ve Nak. Benz. Net Artış/Azalış,Cash Net Inc. / Dec. before For.Cur. Trans. Dif.,MIATK,1077909,750905,841296,192811,-258413,1005966,6721398,-1297050,-160086,1911151,17677070,9918111,2387986,8179995,5575565,9643133,14155441,19618676,26573919,-900073,-774444,-3981439
4CBG,Yab.ı Para Çevrim Fark. Nakit Ve Nakit Benz. Üzerindeki Etkisi,Foreign Curr. Trans.Diff.Cash and Cash Benz. Imp.,MIATK,0,0,0,0,0,0,0,0,0,0,-11276119,-12160022,0,0,0,0,0,0,0,0,0,0
4CBH,Diğer Nakit Girişi/Çıkışı,Other Cash Inflow/Outflow,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBI,Nakit ve Benzerlerindeki Değişim,Change in Cash & Cash Equivalents,MIATK,1077909,750905,841296,192811,-258413,1005966,6721398,-1297050,-160086,1911151,6400951,-2241911,2387986,8179995,5575565,9643133,14155441,19618676,26573919,-900073,-774444,-3981439
4CBJ,Diğer Nakit ve Nakit Benzerlerindeki Artış,Other Cash & Cash Equivalents Change,MIATK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBK,Dönem Başı Nakit Değerler,Cash at the beginning of the Quarter,MIATK,386539,371937,356427,1136655,1066823,1038633,943072,4895730,4595177,4298747,11143968,17753056,18363522,17840712,17662736,9993687,10372361,10923420,10726300,25889532,26545515,27685643
4CBL,Dönem Sonu Nakit,Cash at the End of the Quarter,MIATK,1464448,1122843,1197723,1329467,808410,2044599,7664470,3598680,4435091,6209898,17544919,15511145,8173345,15043341,11797632,18131409,22281437,26755933,32540019,22384256,22013281,18427063
