FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,TEZOL,0,0,10621,0,0,0,0,0,98717,88816,144939,85873,0,0,0,0,0,0,0,0,0,0
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,TEZOL,0,0,1276069,0,1319203,1347850,914414,1205424,1014028,1267060,2382355,1704389,1075807,820797,2419654,1644929,1732710,1853198,2503414,2052139,1771860,1696472
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,TEZOL,0,0,746426,0,431916,734509,81472,0,0,0,0,0,0,0,21615,1694976,324141,3195826,2944172,4762712,4339854,3376638
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,TEZOL,0,0,0,0,493969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2N,Özkaynaklar,SHAREHOLDERS EQUITY,TEZOL,0,0,61130074,0,59949415,62944149,52019342,49645366,53916486,58589246,163767050,75317633,65168655,69320428,152735736,111850318,120798273,132414620,162034871,130455758,134795390,140632636
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,TEZOL,0,0,61130074,0,59949415,62944149,52019342,49645366,53916486,58589246,163767050,75317633,65168655,69320428,152735736,111850318,120798273,132414620,162034871,130455758,134795390,140632636
2OA,Ödenmiş Sermaye,Share Capital,TEZOL,0,0,2018109,0,11499672,11242903,7488954,6819654,13180440,11858496,11744608,11465619,8504190,16043171,14919654,13603928,13379838,12872084,14146753,13215731,12558901,12024549
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCB,Değer Artış Fonları,Market Value Surpluses,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,TEZOL,0,0,1012418,0,1613748,1577715,1050924,1970881,2420407,2204603,7045445,2131564,1581007,3128419,9222892,6702081,7145705,7487708,9652677,7912602,8135706,8738336
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),TEZOL,0,0,38785039,0,38330849,37474982,24962273,35360238,23185885,20833482,85031648,58103227,43095877,30991508,95043349,69998657,73567700,77178433,97248597,83956552,83138344,85210646
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),TEZOL,0,0,18371744,0,9369341,13443228,19100625,6275359,15225709,24050342,36377604,3316746,11730301,18757100,1283448,1176411,3428258,9400939,5170957,-1693834,2882142,5332383
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,TEZOL,0,0,942764,0,-864195,-794680,-583433,-780766,-95956,-357677,23567746,300478,257280,400231,32266393,20369241,23276772,25475457,32218427,27064707,28080297,29326721
2ODA,Azınlık Payları,Minority Interests,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,TEZOL,0,0,91375243,0,91471823,102806735,93672221,94108285,101958015,97059386,223818930,112191597,105326792,100493358,203601255,160340719,163055267,174837252,207917417,162512628,172762255,170057333
3B,Sürdürülen Faaliyetler,Continuing Operations,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C,Satış Gelirleri,Net Sales,TEZOL,47028439,71871283,91863878,22112812,43268095,74684926,98390557,24358401,54129973,95675894,255644592,68376237,128382669,160865603,221018654,41844649,86388466,145003408,192207990,34550239,71096461,108145057
3CA,Satışların Maliyeti (-),Cost Of Sales,TEZOL,-30958314,-47277559,-60995857,-16228930,-30696991,-52183036,-70459864,-18540666,-39810036,-69145611,-209453975,-62238354,-101654586,-121905610,-175708807,-34513774,-71363798,-113275960,-163807100,-29069501,-60369298,-92280079
3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,TEZOL,16070126,24593724,30868020,5883882,12571104,22501890,27930693,5817735,14319937,26530283,46190616,6137883,26728083,38959993,45309847,7330876,15024668,31727447,28400891,5480739,10727163,15864978
3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",TEZOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
