FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
3HAB,Diğer Gelir ve Giderler,None,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,None,KIMMR,1060026,657384,4785793,1412901,1550857,2433519,5573789,152048,978668,1205012,-2068275,6350237,17034585,18311033,2284285,12125536,14440232,14823772,3652794,8820915,13129352
3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),KIMMR,64630,161092,305683,240443,498288,862030,2613963,675798,1316509,1928238,4661732,1433902,3948199,7765094,1753171,5076684,8601967,11872928,2807201,5901917,9386177
3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),KIMMR,-2109600,-2008665,-2647839,-609195,-1385855,-1948985,-5126299,-465880,-1132104,-1727374,-22728583,-8770132,-7168547,-1024846,232321,-3216660,-4198786,-6593986,-37747,-5042680,-7701620
3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,KIMMR,48250,89843,492477,19966,34697,52790,1337281,11175,46616,113515,2942052,184619,1803810,6088504,149014,523922,607058,5016755,25048,55753,218282
3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,KIMMR,-984944,-1190190,2443636,1044149,663289,1346564,3061453,361966,1163073,1405875,-20135126,-985993,13814237,25051281,4269777,13985560,18843413,20102713,6422248,9680152,14813908
3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,KIMMR,347075,79751,-283872,-289186,-207321,-459783,-774452,-59593,-210427,-223612,-2121561,149127,-5942414,-3489186,-2959152,-3879096,-6040821,-6710607,-3102246,-4749560,-7103768
3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),KIMMR,-150500,-228986,-562340,-349809,-703452,-1035783,-1350262,-250828,-555229,-736407,-2107205,-1071096,-1731262,-2576525,-717684,-1558306,-2477311,-3132963,-607585,-1595506,-2420054
3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,KIMMR,497575,308737,278469,60623,496130,576000,575810,191235,344803,512795,-14355,1220223,-4211152,-912661,-2241468,-2320790,-3563511,-3577643,-2494661,-3154054,-4683715
3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,KIMMR,-637869,-1110438,2159765,754963,455968,886781,2287001,302373,952647,1182263,-22256687,-836866,7871823,21562095,1310625,10106464,12802591,13392107,3320002,4930592,7710140
