FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,SMRTG,18502148,0,0,22451557,17315812,18205175,16452680,15822860,61099864,50095520,47864003,76880953,115389912,90406965,91917217,70191836,158117530,131898763,97822608,81106788
2AAGAB,Diğer Borçlar,Other Short-Term Loans,SMRTG,1005826,0,0,430413,1044327,791562,630660,469317,1060877,562705,388928,175642,124534,78648,58542,20240,0,0,5684309,0
2AAGAC,Müşteri Söz. Doğan Yük.,None,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,SMRTG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,SMRTG,0,0,0,0,11893057,13038327,15926680,24724378,55760975,70782362,93914225,127289299,100132278,74345245,101675337,86550014,78300264,76348975,97696228,117887383
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),SMRTG,312214,0,0,562581,401568,99292,590151,189692,95984,1420736,339299,45460,0,0,0,0,0,0,0,0
2AAGE,Borç Karşılıkları,Short-Term Provisions,SMRTG,391972,0,0,306588,207873,202329,182762,190168,271369,256218,209245,265310,430155,436802,461377,572625,673020,732194,753225,805600
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,SMRTG,29833248,0,0,21652853,1877378,2333427,777657,882128,1204395,1642653,1536635,2103671,6480421,5278634,7517420,6167985,30575916,16170734,11129799,9598324
