FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6
2AAGE,Borç Karşılıkları,Short-Term Provisions,MAVI,3011320,3228357,3498107,2665653,3052825,3333180,3933779,3242942,3683227,5804366,6381973,10943252,7190037,6554063,7352366,9361914,7732844,7885104,8716800,9455982,9892398,10480051
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,MAVI,3904885,7096784,7026345,8065441,6515082,9243322,12599359,8850071,7575477,10944259,14956851,23265054,16074433,14306870,15799205,28740510,16570202,18170550,21727404,27013032,18664101,22762205
2AAGG,(Ara Toplam),(Subtotal),MAVI,238941883,229968347,237177513,240290339,223708157,212688393,222003373,192494046,203639308,202074002,231395098,479081251,320021003,220555401,231864107,295211774,243155802,245736667,230621488,264096297,273838721,251168078
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,MAVI,86025374,72014879,57769566,52166104,41984822,32380432,36066333,24831424,22336618,30791366,30511371,41117393,22345188,19664471,30781959,53188262,35925191,36572055,28353660,29846805,26656261,25479524
2BA,Finansal Borçlar,Long-Term Financial Loans,MAVI,82586644,68731967,54898148,49189796,39267097,28981934,31752319,20716693,18557643,26602322,23500035,25506193,15449452,13327767,24260993,44767609,30199823,29401678,20754860,23176417,21886176,20284710
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBA,Ticari Borçlar,Long-Term Trade Payables,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBB,Diğer Borçlar,Other Long-Term Loans,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBBA,Müşteri Söz.Doğan Yük.,None,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,MAVI,443060,352855,249543,191720,112699,50369,728428,54669,9479,8867,2108063,2993113,1506478,921313,682600,656058,742,0,0,0,0,0
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,MAVI,1133936,1192181,1104530,1221763,1210435,1238745,1253359,1735640,1707437,2156500,2188270,5379244,2940723,2645074,2694706,4889306,3259872,3985033,3936049,4851775,4059846,4428143
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,MAVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,MAVI,1861734,1737875,1517344,1562824,1394590,1278419,1249761,832547,914584,847982,641060,1300021,770229,750070,650551,905487,618144,560858,506663,555566,710240,766671
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,MAVI,0,0,0,0,0,830966,1082467,1491874,1147475,1175695,2073943,5938821,1678306,2020248,2493109,1969801,1846610,2624486,3156089,1263047,0,0
2N,Özkaynaklar,SHAREHOLDERS EQUITY,MAVI,72064575,67185034,76489145,71845897,74063639,79415357,100424420,89369954,97694207,120352457,129506902,289295430,150771323,155604725,181379093,321332495,254423286,253486178,282586996,334237536,319001234,298147160
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,MAVI,69236344,64776165,73148773,68587727,70101909,75164733,94612176,83464615,90850956,113367183,122758124,273527546,143078310,148530631,173882994,303939874,243745996,245180126,275366723,327621293,313772985,294401543
