date,open,high,low,close,volume,symbol,adj_close,adj_open,adj_high,adj_low,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass
2023-09-27,381.72678,393.3157,374.63342,375.8196,504705651.0,SDTTR,375.8196,381.72678,393.3157,374.63342,0,-0.017571174667937783,0.02840133252846,0.054061444819058835,0.04432827534626716,0.07253601284274051,376.77846,312.363248,,,36.57694374568584,16.997427501474874,21.499289078790177,-4.501861577315303,3.1190655781651477,31.045287142857152,21705270198.0,0.0026302513227092206,1,0,-0.19384539816443835,0,-1,-0.16784648804905333,0,-1,-0.3223788753965998,0,-1,0.019068191227918918,1,0,-0.1259479282081083,0,-1
2023-09-28,371.68387,381.45395,363.66132,365.836,370355127.0,SDTTR,365.836,371.68387,381.45395,363.66132,0,-0.026564873146584067,-0.024512250792472434,0.01065000943419947,0.04473141532807422,0.07282213484165996,376.971215,317.173186,,,38.21770472441421,14.70634912843667,20.140701088719478,-5.434351960282807,1.2862475227733317,29.258964285714296,21334915071.0,0.03782760581244049,1,1,-0.13969210247214603,0,-1,-0.1444609059797286,0,-1,-0.3038867142654086,0,-1,0.1294910834362939,1,1,-0.1379842333723308,0,-1
2023-09-29,370.60443,377.50003,360.89365,370.6795,394537254.0,SDTTR,370.6795,370.60443,377.50003,360.89365,0,0.013239539028417013,-0.04434268306799716,0.025991657648032573,0.04479966944562185,0.07261285907837274,377.44074,321.830898,,,44.646294355992865,13.130127051230772,18.738586281221735,-5.608459229990963,3.5053594280670675,28.178694285714297,21729452325.0,0.01866679975558405,1,0,-0.16591907564351427,0,-1,-0.1656519985594025,0,-1,-0.36110062736137283,0,-1,0.09668837904443062,1,1,-0.16729195976578148,0,-1
2023-10-02,372.30167,379.08163,366.23138,366.2314,373252617.0,SDTTR,366.2314,372.30167,379.08163,366.23138,0,-0.011999854321590564,-0.09634143422647701,-0.006702420867116254,0.04469020044569918,0.07275441365053537,377.31718,326.283006,,,50.662755121425036,11.390729958818952,17.26901501674118,-5.878285057922227,-1.7241346924043999,26.625374285714297,21356199708.0,-0.037516990623960744,0,-1,-0.1338997693807794,0,-1,-0.20010709076283473,0,-1,-0.3503642778855117,0,-1,0.1451822536243479,1,1,-0.16529549350492612,0,-1
2023-10-03,367.3227,375.12772,362.27747,367.1211,465836248.0,SDTTR,367.1211,367.3227,375.12772,362.27747,0,0.002429338390973479,-0.04030989595110379,0.01392317384178865,0.04447687812725238,0.07279179024842795,377.569245,330.75883999999996,,,50.987605532071115,9.969118790019763,15.809035771396896,-5.839916981377133,-3.7574134122104863,25.319175000000012,21822035956.0,-0.02046327492481359,0,-1,-0.16700020783332803,0,-1,-0.2087850575736453,0,-1,-0.33655379655378026,0,-1,0.1592765983758493,1,1,-0.18553741531064283,0,-1
2023-10-04,363.3223,372.26114,357.33508,358.027,422765813.0,SDTTR,358.027,363.3223,372.26114,357.33508,0,-0.02477139014891827,-0.047343459468319304,-0.040783968690120465,0.04429058224476988,0.07304599566557214,376.808115,335.13384600000006,,,48.87795568861426,8.016257403752377,14.250480097867994,-6.234222694115617,-2.0286744275266666,24.71197142857144,21399270143.0,0.0008284291408189315,1,0,-0.16602071910777672,0,-1,-0.10783292880145912,0,-1,-0.2963148030735112,0,-1,0.13959617570741867,1,1,-0.11087962639689186,0,-1
2023-10-05,366.86993,374.63342,356.1489,367.0222,690458510.0,SDTTR,367.0222,366.86993,374.63342,356.1489,0,0.025124362129113287,0.00324243650160172,-0.13064872421534535,0.032368771609229116,0.07301522857921762,374.050255,339.62154000000004,,,53.028261687994714,7.11245025036618,12.822874128367632,-5.710423878001452,-2.1349293707576544,24.027095714285725,22089728653.0,-0.03959079314548286,0,-1,-0.1732472858590025,0,-1,-0.13172091497462546,0,-1,-0.2676636454143646,0,-1,0.12111583441001672,1,1,-0.15696952391435715,0,-1
2023-10-06,362.0007,366.72568,359.50977,359.6086,274838100.0,SDTTR,359.6086,362.0007,366.72568,359.50977,0,-0.020199323092717436,-0.029866501924168953,-0.11159933000973354,0.03151178653689961,0.0731280452232216,371.79158500000005,344.132958,,,45.33239751622119,5.731887378050885,11.404676778304282,-5.6727894002533965,-7.288482416299303,22.54437857142858,21814890553.0,-0.0769653451002007,0,-1,-0.1578546786700875,0,-1,-0.10143639501391244,0,-1,-0.2215664475209993,0,-1,0.13527318312187186,1,1,-0.14372292542503162,0,-1
2023-10-09,392.02673,395.4904,364.7487,395.4904,398693659.0,SDTTR,395.4904,392.02673,395.4904,364.7487,0,0.09978014986293426,0.07989211192704948,0.02196674586778191,0.03798691848877243,0.07356315235368471,372.21663,348.800556,,,54.20618943479771,7.447294958110945,10.613200414265615,-3.16590545615467,-2.4146242945861762,22.25489928571429,22213584212.0,-0.1567110099259047,0,-1,-0.21424085135821258,0,-1,-0.20047768542548705,0,-1,-0.31787320248481377,0,-1,0.012228868260771852,1,0,-0.208256635306445,0,-1
2023-10-10,409.64935,433.84332,396.87424,397.3685,2264568253.0,SDTTR,397.3685,409.64935,433.84332,396.87424,0,0.0047487878340408685,0.08239079693321893,0.09031749302583258,0.035264126860016114,0.0735965437666081,373.86244999999997,352.825642,,,60.45307723082947,8.856225740686682,10.261805479549828,-1.4055797388631461,3.875973653040865,22.38198642857143,24478152465.0,-0.15422888326578466,0,-1,-0.212973348415891,0,-1,-0.20861492544074323,0,-1,-0.3304484376592508,0,-1,-0.01250476572753001,0,0,-0.22696086881572142,0,-1
2023-10-11,391.27353,413.67834,375.62198,376.8081,1013976644.0,SDTTR,376.8081,391.27353,413.67834,375.62198,0,-0.05174139369376274,0.052457216913808224,0.03390294636798652,0.037472259582973864,0.07419592825543748,374.48024999999996,356.409866,,,50.54348921726924,8.21901737101598,9.853247857843058,-1.6342304868270787,0.26302513227092206,23.031555,23464175821.0,-0.19596022484654663,0,-1,-0.17002951900450125,0,-1,-0.177909126688094,0,-1,-0.22356897317228597,0,-1,0.0735918362689123,1,1,-0.15059363108170987,0,-1
