date,open,high,low,close,volume,symbol,adj_close,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_5d,y_5d_up,y_5d_triclass,future_return_20d,y_20d_up,y_20d_triclass
2022-10-05,51.768,52.55,51.05,52.4,17622407.0,MPARK,52.4,0,0.004793863854266611,0.11394557823129259,0.23120300751879697,0.024939031244073127,0.019141604725517965,47.831,43.9212,35.522800000000004,72.74220032840722,2.200389144723367,1.8477262534016408,0.35266289132172624,11.77474402730374,1.764999999999999,8736868738.71,0.04293893129770998,1,1,0.2862595419847329,1,1
2022-10-06,53.126,57.5,51.15,53.85,18853972.0,MPARK,53.85,0,0.027671755725190872,0.11861238055670964,0.18979231109147165,0.022080156116953367,0.01865905431482904,48.2605,44.165,35.603950000000005,72.67489711934155,2.414321060236773,1.9610452147686672,0.45327584546810584,14.040660736975873,2.0742857142857134,8755722710.71,0.06313834726090994,1,1,0.27205199628597954,1,1
2022-10-07,53.229,54.15,52.3,53.75,15525582.0,MPARK,53.75,0,-0.0018570102135562205,0.09159220146222569,0.1349239864864864,0.020341789635423786,0.018295947758398667,48.58,44.42,35.6957,89.10191725529769,2.5464406970608096,2.078124311227096,0.4683163858337136,13.205560235888814,1.9935714285714279,8740197128.71,0.10883720930232554,1,1,0.37209302325581395,1,1
2022-10-10,52.829,54.5,51.6,53.4,32404061.0,MPARK,53.4,0,-0.006511627906976791,0.048086359175662396,0.15835140997830788,0.019075072261535646,0.018357930163708455,48.945,44.668800000000005,35.7925,84.72222222222223,2.5930137379108658,2.18110219656385,0.4119115413470156,11.949685534591193,2.1178571428571424,8707793067.71,0.20880149812734072,1,1,0.4232209737827717,1,1
2022-10-11,53.161,54.15,52.25,53.3,52712643.0,MPARK,53.3,0,-0.0018726591760299671,0.022051773729625967,0.15367965367965364,0.019156329339285304,0.01776520865951468,49.3,44.9252,35.8965,84.00423728813554,2.5919753654952586,2.263276830350132,0.3286985351451266,11.04166666666666,2.179285714285714,8655080424.71,0.17354596622889318,1,1,0.39962476547842396,1,1
2022-10-12,53.409,54.65,52.4,54.65,25628749.0,MPARK,54.65,0,0.025328330206378924,0.04293893129770998,0.17780172413793105,0.019553468698501088,0.017890323207656777,49.7125,45.2046,36.01065,85.55023923444972,2.6693159527423376,2.344484654828573,0.3248312979137644,16.177721088435383,2.2928571428571423,8680709173.71,0.12991765782250697,1,1,0.303751143641354,1,1
2022-10-13,55.721,57.25,54.1,57.25,87143199.0,MPARK,57.25,0,0.04757548032936865,0.06313834726090994,0.22172428510456688,0.021430444018917888,0.01863463505450817,50.232,45.532399999999996,36.1411,88.19390148553555,2.9068982823206184,2.4569673803269825,0.44993090199363595,18.923971749065217,2.486428571428571,8767852372.71,0.0471615720524019,1,1,0.262882096069869,1,1
2022-10-14,58.775,60.8,57.3,59.6,62429170.0,MPARK,59.6,0,0.041048034934497935,0.10883720930232554,0.23293338849813816,0.022021919434280477,0.019071747185813108,50.795,45.9128,36.2896,89.87935656836459,3.2473756256389805,2.6150490293893824,0.6323265962495981,21.03980503655565,2.691428571428571,8830281542.71,-0.012583892617449632,0,0,0.2063758389261745,1,1
2022-10-17,61.639,64.55,59.6,64.55,48806830.0,MPARK,64.55,0,0.08305369127516782,0.20880149812734072,0.40326086956521734,0.023029874553350087,0.021442967379925224,51.722500000000004,46.389799999999994,36.46115,92.2841083290751,3.871996044185977,2.8664384323487013,1.0055576118372755,26.69283611383708,2.9092857142857134,8879088372.71,-0.05964368706429113,0,-1,0.12625871417505818,1,1
2022-10-18,62.872,64.6,61.35,62.55,117322066.0,MPARK,62.55,0,-0.03098373353989159,0.17354596622889318,0.3336886993603412,0.025421096507860664,0.022036058193625814,52.504999999999995,46.828,36.6264,87.62736535662299,4.157701545393046,3.1246910549575704,1.0330104904354753,19.94247363374879,3.0428571428571414,8761766306.71,-0.019984012789768135,0,0,0.15827338129496415,1,1
2022-10-19,61.927,64.15,61.0,61.75,95530486.0,MPARK,61.75,0,-0.012789768185451633,0.12991765782250697,0.31719283276450505,0.025955568114302798,0.022003719084591762,53.2485,47.2398,36.78585,83.50566223535203,4.270346008784408,3.3538220457229384,0.9165239630614694,17.843511450381676,3.069285714285713,8666235820.71,0.0380566801619433,1,1,0.14574898785425106,1,1
2022-10-20,61.002,62.1,59.9,59.95,61909003.0,MPARK,59.95,0,-0.029149797570850122,0.0471615720524019,0.26958915713680653,0.02768578940624395,0.022483057306987207,53.885000000000005,47.6052,36.9299,75.4878629224179,4.166345562623405,3.516326749103032,0.6500188135203735,11.327762302692657,3.1364285714285707,8604326817.71,0.06839032527105915,1,1,0.15763135946622198,1,1
2022-10-21,59.423,61.0,58.45,58.85,65240711.0,MPARK,58.85,0,-0.01834862385321101,-0.012583892617449632,0.23946925021061505,0.028498631008522693,0.022527229541705784,54.4535,47.9394,37.07035,69.36274509803921,3.949634722324916,3.602988343747409,0.3466463785775069,9.488372093023267,3.032857142857142,8539086106.709999,0.08326253186066257,1,1,0.20390824129141882,1,1
2022-10-24,61.38,62.65,59.15,60.7,82151183.0,MPARK,60.7,0,0.03143585386576042,-0.05964368706429113,0.27253668763102734,0.02880363701751421,0.022737736985316448,55.1035,48.2922,37.220949999999995,70.30878859857482,3.882415292207021,3.6588737334393318,0.22354155876768944,13.670411985018728,3.0964285714285706,8621237289.71,0.0733113673805601,1,1,0.1614497528830312,1,1
2022-10-25,61.711,64.0,59.9,61.3,84326164.0,MPARK,61.3,0,0.009884678747940523,-0.019984012789768135,0.27708333333333335,0.028773974306927727,0.022609761998652993,55.7685,48.6598,37.37195,70.79439252336448,3.83336969547981,3.6937729258474272,0.13959676963238277,15.0093808630394,3.282142857142856,8705563453.71,0.12316476345840122,1,1,0.16965742251223492,1,1
2022-10-26,63.681,65.95,60.9,64.1,90735919.0,MPARK,64.1,0,0.04567699836867867,0.0380566801619433,0.3626700680272108,0.028594043829441997,0.02314640461187314,56.62149999999999,49.081399999999995,37.530950000000004,72.52747252747253,3.974620356784939,3.7499424120349296,0.22467794475000957,17.291857273558996,3.1892857142857136,8796299372.71,0.051482059282371484,1,1,0.1248049921996881,1,1
2022-10-27,65.681,67.75,63.8,64.05,107165540.0,MPARK,64.05,0,-0.0007800312012480326,0.06839032527105915,0.3304943913585374,0.028774378395124756,0.023169263939652254,57.41700000000001,49.5124,37.6884,72.68722466960352,4.036003406448103,3.8071546109175647,0.22884879553053805,11.877729257641922,3.339285714285714,8689133832.71,0.06947697111631546,1,1,0.17174082747853237,1,1
2022-10-28,64.196,65.05,61.05,63.75,30368021.0,MPARK,63.75,0,-0.004683840749414525,0.08326253186066257,0.29467912266450025,0.029024791933542095,0.023147730265043298,58.142500000000005,49.9546,37.844150000000006,72.84768211920532,4.0141695746292285,3.8485576036598976,0.1656119709693309,6.963087248322153,3.4178571428571423,8658765811.71,0.15686274509803932,1,1,0.18509803921568624,1,1
2022-10-31,64.441,65.3,63.7,65.15,54883969.0,MPARK,65.15,0,0.0219607843137255,0.0733113673805601,0.27870461236506383,0.028668982504941397,0.02321004937603255,58.8525,50.445600000000006,38.0083,74.73903966597081,4.062998685601585,3.891445820048235,0.1715528655533496,0.9295120061967532,3.396428571428571,8713649780.71,0.1665387567152723,1,1,0.1841903300076746,1,1
2022-11-01,66.926,70.55,64.95,68.85,101896712.0,MPARK,68.85,0,0.05679201841903292,0.12316476345840122,0.32023010546500474,0.03024813733206437,0.02400654402148279,59.6875,51.015,38.19105,76.9961977186312,4.350109827410662,3.9831786215207208,0.36693120588994166,10.07194244604317,3.635714285714285,8815546492.71,0.08351488743645596,1,1,0.1517792302106029,1,1
2022-11-02,68.823,70.4,67.4,67.4,81917045.0,MPARK,67.4,0,-0.021060275962236585,0.051482059282371484,0.2862595419847329,0.031217749497933166,0.02431421233356769,60.4375,51.552600000000005,38.36555,70.17892644135193,4.409811037347573,4.068505104686092,0.34130593266148157,9.149797570850215,3.624999999999999,8733629447.71,0.05712166172106814,1,1,0.18842729970326388,1,1
