date,open,high,low,close,volume,symbol,adj_close,adj_open,adj_high,adj_low,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass
2025-03-13,4.503,4.55,4.43,4.51,12300650.0,TEKTU,4.51,4.503,4.55,4.43,0,0.0226757369614512,0.006696428571428381,0.10268948655256716,0.028730336572445524,0.0219456866484619,4.258,4.3124,4.7118,-0.04282864298145095,69.59459459459461,0.07505395451665642,0.03647299835380949,0.03858095616284693,6.6193853427895855,0.1792857142857142,13972236775.18,-0.10864745011086485,0,-1,-0.09090909090909094,0,-1,-0.16186252771618626,0,-1,0.43458980044345896,1,1,2.259423503325942,1,1,4.4323725055432375,1,1
2025-03-14,4.529,4.56,4.5,4.53,17769629.0,TEKTU,4.53,4.529,4.56,4.5,0,0.004434589800443645,-0.013071895424836555,0.1296758104738156,0.028133031485945953,0.021957454139830326,4.284000000000001,4.31,4.7132499999999995,-0.038879753885323165,61.86440677966104,0.07983933716388236,0.04514626611582406,0.0346930710480583,5.841121495327095,0.15785714285714272,13990006404.18,-0.09492273730684342,0,-1,-0.08609271523178819,0,-1,-0.17439293598233996,0,-1,0.5231788079470199,1,1,2.1236203090507724,1,1,4.947019867549669,1,1
2025-03-17,4.555,4.59,4.52,4.53,18360751.0,TEKTU,4.53,4.555,4.59,4.52,0,0.0,0.02257336343115135,0.1296758104738156,0.028133031485945953,0.021312658332405497,4.3100000000000005,4.3064,4.713049999999999,-0.03883896839626122,61.86440677966104,0.0826787185864788,0.05265275660995501,0.030025961976523782,3.424657534246589,0.15428571428571417,13990006404.18,-0.10154525386313462,0,-1,-0.11920529801324509,0,-1,-0.13465783664459163,0,-1,0.5055187637969094,1,1,2.2737306843267104,1,1,4.739514348785872,1,1
2025-03-18,4.526,4.58,4.5,4.56,23854665.0,TEKTU,4.56,4.526,4.58,4.5,0,0.0066225165562912025,-0.004366812227074357,0.1428571428571428,0.028003335673720795,0.021096321898750093,4.338500000000001,4.3062000000000005,4.71305,-0.032473663551203624,61.53846153846153,0.08635425994507795,0.059393057276979605,0.026961202668098344,4.347826086956519,0.14714285714285705,14013861069.18,-0.12499999999999989,0,-1,-0.11403508771929816,0,-1,-0.11403508771929816,0,-1,0.5131578947368423,1,1,2.1644736842105265,1,1,5.162280701754387,1,1
2025-03-19,4.225,4.4,4.11,4.11,26547423.0,TEKTU,4.11,4.225,4.4,4.11,0,-0.0986842105263156,-0.0680272108843537,0.0620155038759691,0.035885576200754804,0.0244948203983939,4.3505,4.2966,4.71255,-0.12786071235318452,46.153846153846146,0.0523524275628402,0.057984931334151724,-0.005632503771311526,-4.861111111111105,0.17142857142857126,13987313646.18,-0.04622871046228716,0,-1,-0.03406326034063267,0,-1,0.04866180048661772,1,1,0.8467153284671531,1,1,2.4647201946472017,1,1,6.177615571776155,1,1
2025-03-20,4.123,4.26,4.01,4.08,29627987.0,TEKTU,4.08,4.123,4.26,4.01,0,-0.007299270072992803,-0.09534368070953436,0.025125628140703515,0.03547346399994159,0.024405474305787697,4.3555,4.2852,4.7097999999999995,-0.1337211771200475,43.506493506493484,0.02272304404327663,0.05093255387597671,-0.028209509832700083,-8.92857142857143,0.17499999999999988,13957685659.18,-0.05392156862745101,0,-1,-0.03676470588235292,0,-1,0.0318627450980391,1,1,1.0441176470588234,1,1,2.838235294117647,1,1,5.509803921568627,1,1
2025-03-21,3.781,4.08,3.69,3.75,19994712.0,TEKTU,3.75,3.781,4.08,3.69,0,-0.08088235294117652,-0.17218543046357615,-0.04580152671755733,0.03994226606846883,0.026438370476501407,4.346500000000001,4.2688,4.7031,-0.20265356892262554,32.203389830508456,-0.02707459881727381,0.03533112333732661,-0.06240572215460042,-18.300653594771244,0.19357142857142842,13937690947.18,0.053333333333333455,1,1,0.03200000000000003,1,1,0.18666666666666676,1,1,1.12,1,1,3.5919999999999996,1,1,5.378666666666667,1,1
2025-03-24,3.759,3.89,3.61,3.87,24924450.0,TEKTU,3.87,3.759,3.89,3.61,0,0.03200000000000003,-0.14569536423841067,-0.0894117647058823,0.03585732663178724,0.026826725888143475,4.3275,4.2578000000000005,4.6967,-0.17601720356846295,36.70212765957446,-0.056208654063376606,0.017023167857185967,-0.07323182192056257,-12.641083521444685,0.2057142857142856,13962615397.18,0.010335917312661591,1,0,0.0025839793281652312,1,0,0.263565891472868,1,1,1.2583979328165373,1,1,3.891472868217054,1,1,4.565891472868216,1,1
2025-03-25,3.947,4.0,3.89,3.97,24240578.0,TEKTU,3.97,3.947,4.0,3.89,0,0.025839793281653867,-0.1293859649122806,-0.06588235294117639,0.036470777805632765,0.027058252830744003,4.3135,4.2496,4.68825,-0.15320215432197515,40.93264248704662,-0.07041671838367503,-0.00046480939098623303,-0.0699519089926888,-13.318777292576412,0.20785714285714277,13986855975.18,-0.007556675062972307,0,0,-0.0025188916876575096,0,0,0.21158690176322392,1,1,1.4206549118387906,1,1,4.24433249370277,1,1,3.8841309823677577,1,1
2025-03-26,3.995,4.05,3.91,4.0,21467015.0,TEKTU,4.0,3.995,4.05,3.91,0,0.007556675062972307,-0.02676399026763998,-0.06759906759906764,0.036440574861728234,0.026870928103145245,4.299,4.2414,4.6825,-0.14575547250400434,36.66666666666665,-0.07835276059036378,-0.016042399630861744,-0.062310360959502036,-9.297052154195018,0.20357142857142851,14008322990.18,0.01750000000000007,1,0,-0.04500000000000004,0,-1,0.19500000000000006,1,1,1.33,1,1,4.275,1,1,3.6975,1,1
2025-03-27,4.075,4.15,4.0,4.02,16316241.0,TEKTU,4.02,4.075,4.15,4.0,0,0.004999999999999893,-0.014705882352941346,-0.04964539007092217,0.03638216768927993,0.026813907073524774,4.288500000000001,4.2312,4.67815,-0.14068595491807656,33.333333333333314,-0.08208210692790718,-0.029250341090270835,-0.05283176583763635,-10.864745011086486,0.205,14024639231.18,0.01990049751243772,1,0,-0.05970149253731338,0,-1,0.21144278606965194,1,1,1.2487562189054726,1,1,4.174129353233831,1,1,3.8731343283582094,1,1
2025-03-28,4.008,4.11,3.94,4.1,16756820.0,TEKTU,4.1,4.008,4.11,3.94,0,0.01990049751243772,0.09333333333333327,-0.04205607476635531,0.03658671763226815,0.026816136948848008,4.2795000000000005,4.2224,4.6718,-0.12239393809666521,39.87730061349692,-0.07768678446384136,-0.038937629764984945,-0.03874915469885642,-9.492273730684342,0.19999999999999998,14041396051.18,0.009756097560975618,1,0,-0.08780487804878034,0,-1,0.08780487804878057,1,1,1.231707317073171,1,1,4.341463414634147,1,1,3.8000000000000007,1,1
2025-04-02,4.075,4.12,4.03,4.07,19042856.0,TEKTU,4.07,4.075,4.12,4.03,0,-0.007317073170731603,0.05167958656330751,-0.07077625570776247,0.03613028411423622,0.026756026025123305,4.264,4.2126,4.667000000000001,-0.12791943432611963,33.112582781456936,-0.07575099866477153,-0.046300303544942266,-0.029450695119829264,-10.154525386313463,0.18928571428571425,14022353195.18,-0.019656019656019708,0,0,-0.03685503685503699,0,-1,0.0884520884520883,1,1,1.4717444717444716,1,1,4.916461916461915,1,1,3.872235872235872,1,1
