date,open,high,low,close,volume,symbol,adj_close,adj_open,adj_high,adj_low,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass,y_triple_20d
<<<<<<< HEAD
2022-08-26,11.788322,12.039218,11.598084,11.7727,83477783.0,GWIND,11.659147024955839,11.674618343754744,11.923094339233547,11.486215274642854,0,-0.012332525147445095,0.08283588267216091,0.2822755443247542,0.02595254976805408,0.025354747458572066,10.496416312342376,8.823274690420444,6.469891704154155,0.8020621608658138,71.92167378628666,0.8054268248727325,0.7672920806214335,0.038134744251299035,6.307453360062132,0.6072096785714282,3097729173.0,0.19593636124253577,1,1,0.16315713472695292,1,1,0.38173061404775477,1,1,1.1561239138005726,1,1,0.5597186711629449,1,1,0.4925802916917954,1,1,1.0
2022-08-29,12.333305,12.682533,11.625655,12.5539,152747993.0,GWIND,12.432812000356172,12.214344738133391,12.560204277341157,11.513520339974091,0,0.06635691047932935,0.15080485479612804,0.3352939925119127,0.02851407527711773,0.02636202918035306,10.652511044930346,8.94086740912127,6.512686409843493,0.9090143787001326,79.06083572306432,0.8601959837570377,0.7858728612485544,0.07432312250848327,14.790058885922242,0.6308418214285709,3250477166.0,0.06368538860433803,1,1,0.0673495885740687,1,1,0.29209249715227936,1,1,0.9428942400369607,1,1,0.4319135886059311,1,1,0.3726172743131617,1,1,1.0
2022-08-31,13.4388895,13.785362,12.636582,13.4269,221653196.0,GWIND,13.297391523557005,13.309265379448663,13.652395996690586,12.514696495358798,0,0.06954014290379873,0.1945959411728071,0.41022570921427115,0.031003033849752178,0.02740996120574003,10.845917385234918,9.073204526380415,6.559891659526618,1.0270748685682696,86.02953953084275,0.9622727968846121,0.821152848375766,0.14111994850884613,23.083198885303613,0.6662877499999995,3472130362.0,-0.030796386358727612,0,-1,-0.028063067424349608,0,-1,0.2464083295474011,1,1,0.7618139704622808,1,1,0.25873433182640815,1,1,0.29774557045930217,1,1,1.0
2022-09-01,14.363428,14.750338,13.895645,14.6125,266324742.0,GWIND,14.471555879464116,14.224886290686708,14.608064370092931,13.761615267660986,0,0.08830035227789002,0.24413585239802127,0.5618820612033306,0.03359285211422054,0.02905942453438863,11.106222175473299,9.231389897425977,6.611699581986462,1.1887800103458703,88.01542790065028,1.1249469689300362,0.8819116724866201,0.24303529644341615,31.950840692781423,0.6932050357142853,3738455104.0,-0.08742514970059878,0,-1,-0.08742514970059878,0,-1,0.21005988023952082,1,1,0.6188674080410606,1,1,0.18239178785286558,1,1,0.2106894781864841,1,1,0.0
2022-09-02,15.051779,15.807219,13.9967375,14.7136,368300189.0,GWIND,14.57168072459081,14.906597836362327,15.654751278523653,13.861732685128546,0,0.006918733960650014,0.23439348305745922,0.5726883076627081,0.03337774976109672,0.0290728520811854,11.371533207968016,9.381385036333086,6.663264867581261,1.1868680015237443,86.94222258313371,1.247565501979377,0.9550424383851714,0.29252306359420555,36.954781540294505,0.7785432499999996,4106755293.0,-0.06808666811657238,0,-1,-0.03310542627229229,0,-1,0.1886282079164856,1,1,0.6064933123097,1,1,0.1980004893431928,1,1,0.1967499456285342,1,1,0.0
2022-09-05,14.560101,15.154709,14.1254015,14.7779,232083830.0,GWIND,14.63536052223321,14.419662291335593,15.008535030317725,13.98915566310462,0,0.00437010656807324,0.2552685450236565,0.5000050751631666,0.032874530294953686,0.029094852516175433,11.615457533929488,9.527919876438288,6.715104976564018,1.1794686119295523,89.58432083754094,1.3344967524484321,1.0309333011978237,0.30356345125060846,35.92498229412904,0.7903593571428568,4338839123.0,-0.04788231074780602,0,-1,0.03358393276446581,1,1,0.1598264976755832,1,1,0.5572171959480032,1,1,0.247511486747102,1,1,0.2332131087637621,1,1,0.0
2022-09-06,14.322073,14.897382,14.134592,14.2449,173981315.0,GWIND,14.107501546441634,14.183930178221678,14.75369006472013,13.998257516607456,0,-0.0360673708713688,0.13469917714813717,0.3741149460768236,0.03435175610141087,0.02967984873654728,11.807502136726153,9.658618947269744,6.764349366268071,1.085566664665758,81.1336954290087,1.3452889334941105,1.093804427657081,0.2514845058370294,30.5817321795248,0.8054576428571425,4164857808.0,-0.02129183076048269,0,-1,0.05935457602369976,1,1,0.21290426749222524,1,1,0.5638649621969969,1,1,0.2890297580186594,1,1,0.22709180127624617,1,1,0.0
2022-09-07,14.049123,14.529772,13.730221,13.96,176183394.0,GWIND,13.825349534803701,13.913612903470627,14.389625828152136,13.597786856382664,0,-0.020000140401125854,0.03970387803588338,0.3574616633767347,0.034904552511209865,0.029067688675106323,11.98953425501015,9.781127785962745,6.8127950350265785,1.0293212203983124,76.34375228218799,1.315905565197026,1.13822465516507,0.17768091003195585,24.20260327232935,0.7988931428571425,3988674414.0,0.028961318051575757,1,1,0.14680515759312307,1,1,0.24358166189111707,1,1,0.6787320916905442,1,1,0.3614183381088827,1,1,0.22449140401146117,1,1,0.0
2022-09-08,13.934245,14.254065,13.665889,13.6659,140885960.0,GWIND,13.534086261294691,13.799842953337448,14.116578145903418,13.534075367394626,0,-0.021067335243553087,-0.06478015397775871,0.351814665703857,0.035118987710287305,0.029232579325585324,12.165649004850705,9.900723001566103,6.860178053351643,0.9728476660576484,76.85874460068007,1.2546536557932093,1.161510455290698,0.09314320050251124,16.35405403104273,0.8100556428571426,3847788454.0,0.034297045931844794,1,1,0.19973071660117503,1,1,0.2595804154867223,1,1,0.6503047731945939,1,1,0.3570932027894247,1,1,0.21385346007215023,1,1,1.0
2022-09-09,13.786282,14.07945,13.601559,13.721,108940714.0,GWIND,13.588654797066015,13.653307122877694,13.943647385944981,13.470365859115693,0,0.004031933498708451,-0.06746139625924308,0.3027914925939994,0.034656797005108965,0.02898422750241462,12.323561038040136,10.021227362647467,6.907134228865141,0.9673361406932819,76.54139261025917,1.196719266312794,1.1685522174951173,0.02816704881767662,15.111957515709285,0.8225280714285711,3956729168.0,0.020093287661249182,1,1,0.22840171999125425,1,1,0.2572042854019385,1,1,0.6101814736535236,1,1,0.2873405728445446,1,1,0.1681218570075067,1,1,0.0
2022-09-12,13.856128,14.281635,13.3901825,14.0794,215295575.0,GWIND,13.943597868217422,13.722479426861069,14.143882220880103,13.261028180323184,0,0.026120545149770358,-0.04726652636707518,0.2713694894439329,0.03365774440685501,0.029029404047393882,12.472371712904003,10.151561983004079,6.955996341712429,1.0045435884724436,77.86801673522481,1.1660057957141454,1.168042933138923,-0.002037137424777624,19.593636124253578,0.8658533214285712,4172024743.0,-0.027408838444820116,0,-1,0.15535463158941432,1,1,0.20169893603420586,1,1,0.5926957114649771,1,1,0.25457050726593455,1,1,0.15535463158941432,1,1,0.0
2022-09-14,13.177888,13.592366,12.792816,13.3534,133037697.0,GWIND,13.224600464043533,13.050781356052669,13.461261529726478,12.669423548311556,0,-0.0515646973592625,-0.06258380192209134,0.2210050839398705,0.036228445820935214,0.03015322589756355,12.592056060416972,10.269519152179749,7.001001023582779,0.8889585102896918,67.37182964314479,1.071298801656157,1.14869410684237,-0.07739530518621285,6.368538860433803,0.9275557499999998,4038987046.0,0.003444815552593461,1,0,0.21473182859796003,1,1,0.2849311785762427,1,1,0.6902961043629339,1,1,0.3062665688139352,1,1,0.20922761244327304,1,1,1.0
2022-09-15,13.193511,13.583177,13.013383,13.0134,117729764.0,GWIND,12.887879916634274,13.066253665206125,13.452161161755466,12.887863080606902,0,-0.025461680171342094,-0.06780802292263621,0.19292681138163692,0.037021658854925414,0.030525637539187665,12.696271069840137,10.38383577802519,7.04401608315976,0.8296210236438175,60.715070205971294,0.9580287335649036,1.1105610321868769,-0.15253229862197326,-3.079638635872761,0.9196782499999998,3921257282.0,0.0028201699786374324,1,0,0.28601287903238193,1,1,0.29942981849478234,1,1,0.7175142545376305,1,1,0.34039528486022097,1,1,0.17584950896767948,1,1,1.0
2022-09-16,13.380992,13.776172,13.022572,13.335,130197203.0,GWIND,13.206377940301385,13.251926326820346,13.643294638365026,12.896963448577914,0,0.024712988150675352,-0.024213553443241942,0.20415018692095144,0.03715990953528625,0.030329362918646872,12.808220748308205,10.503429012919447,7.0881428157204684,0.8631647645433387,61.66718876230358,0.8837739216085616,1.065203610071214,-0.18142968846265228,-8.742514970059878,0.9308365357142855,4051454485.0,0.0,0,0,0.32598425196850367,1,1,0.3756055493063366,1,1,0.592013498312711,1,1,0.28188226471691036,1,1,0.1274990626171728,1,1,1.0
2022-09-19,14.05188,14.40111,13.399372,13.7118,205138090.0,GWIND,13.57954353519494,13.916343310968296,14.262204830885164,13.270129043471469,0,0.02825646794150738,-0.0006705050652285882,0.27629986782582794,0.03613849770762488,0.029169596777016894,12.955209170797858,10.628302818280725,7.134529042189748,0.9033552817421948,65.4016616098235,0.8452937725561149,1.0212216425681941,-0.1759278700120792,-6.808666811657238,0.9754776785714282,4256592575.0,0.0375370119167433,1,1,0.27547076240902024,1,1,0.3538922679735701,1,1,0.5616695109321896,1,1,0.22118175585991628,1,1,0.1387418136203853,1,1,1.0
2022-09-20,13.950788,14.272445,13.601559,14.0703,159692304.0,GWIND,13.934585641801467,13.816226388678011,14.13478086255454,13.470365859115693,0,0.026145363847197345,-0.0006463343608392735,0.29416580053531516,0.03625850615933283,0.029090652952520675,13.11357676708084,10.762824657679825,7.182296813257956,0.9401294605479567,62.911245827940874,0.8338349774146216,0.9837443095374796,-0.14990933212285795,-4.788231074780603,0.9479068214285711,4416284879.0,0.08556320760751368,1,1,0.21815455249710403,1,1,0.3585851047952071,1,1,0.5898026339168321,1,1,0.1391228332018506,1,1,0.12997590669708559,1,1,0.0
2022-09-21,14.037175,14.355158,13.812933,13.9416,123580638.0,GWIND,13.807127011061551,13.901780147292845,14.216696058548251,13.679701062021824,0,-0.00914692650476534,0.04404870669642191,0.2780140803754767,0.0365511175299934,0.029021011642071444,13.263754131225372,10.895161774938972,7.2296020887507515,0.9098045565392066,55.01842787777149,0.8051872559494182,0.9480328988198674,-0.1428456428704492,-2.129183076048269,0.8986756071428569,4292704241.0,0.08240087220978953,1,1,0.23929104263499168,1,1,0.35003156022264315,1,1,0.62821340448729,1,1,0.1153597865381304,1,1,0.17139352728524693,1,1,0.0
2022-09-22,14.073017,14.502202,13.840506,14.3643,158046849.0,GWIND,14.225749879855357,13.937276435117088,14.36232175317545,13.707008108062164,0,0.03031933207092452,0.10380838212918997,0.2779967436853297,0.03655076808754625,0.02912324671773044,13.418477222759927,11.035324673861728,7.277951197940517,0.9546366131007993,47.157060386694766,0.806960953668785,0.919818509789651,-0.11285755612086601,2.8961318051575757,0.8514083214285713,4450751090.0,0.11452698704426933,1,1,0.2085796036005929,1,1,0.3128659245490557,1,1,0.544467882180127,1,1,0.06846139387230843,1,1,0.20537721991325708,1,1,0.0
2022-09-23,14.281635,14.575723,14.116211,14.1346,113255412.0,GWIND,13.998265439443866,14.143882220880103,14.435133610134498,13.980053809601781,0,-0.01599103332567542,0.05996250468691411,0.2034465436650177,0.03628224109013419,0.029075408958035193,13.536799832764988,11.163474572078385,7.325731348440614,0.9108352154387418,43.557790733900056,0.7810075597275574,0.8920563197772323,-0.1110487600496749,3.4297045931844794,0.7549104999999999,4337495678.0,0.15994792919502476,1,1,0.21781302619104892,1,1,0.3029869964484315,1,1,0.5461633155519079,1,1,0.14044260184228796,1,1,0.1664497049792708,1,1,0.0
2022-09-26,14.168595,14.511392,13.886456,13.9967,129789559.0,GWIND,13.861695546832877,14.031932542412036,14.371423111501013,13.752514899689976,0,-0.009756201095184713,0.020777724295862,0.17424935191321933,0.03652235822240014,0.029170628205805287,13.639648152907494,11.287983926964818,7.373659556946119,0.8798936186001307,41.44808862810351,0.7408788686567434,0.8618208295531347,-0.12094196089639131,2.009328766124918,0.7260268214285713,4207706119.0,0.20420527695813995,1,1,0.23244050383304615,1,1,0.3145169932912757,1,1,0.5338186858330889,1,1,0.14904941879157207,1,1,0.13591775204155265,1,1,0.0
2022-09-27,13.933326,14.152971,13.555607,13.6935,95230852.0,GWIND,13.561420046907912,13.798932817504891,14.01645924290403,13.42485708677878,0,-0.021662248958683294,-0.026779812797168456,0.16315713472695292,0.03686292053389104,0.029234221852978057,13.734761804005098,11.397021963052346,7.419517924439606,0.8278033943737932,43.64395057174474,0.6770423458162877,0.8248651328057653,-0.1478227869894776,-2.7408838444820116,0.7142106785714285,4112475267.0,0.18791397378318186,1,1,0.23556431883740458,1,1,0.4147588271807794,1,1,0.5610691203855844,1,1,0.08858947675904627,1,1,0.13959177712053172,1,1,1.0
2022-09-28,13.522522,13.785362,13.2615185,13.3994,63539037.0,GWIND,13.270156773398904,13.392091206452205,13.652395996690586,13.133605202347109,0,-0.021477343265052684,-0.03889080162965508,0.0673495885740687,0.034743056258433616,0.0293633271562772,13.77662904265723,11.501690554859962,7.462957846119053,0.7781363699246615,43.55157817244869,0.5960777166919513,0.7791076495830026,-0.1830299328910513,0.3444815552593461,0.6945172857142856,4048936230.0,0.21056166694031075,1,1,0.28052002328462455,1,1,0.41975013806588346,1,1,0.5871009149663418,1,1,0.22907742137707676,1,1,0.13785691896652086,1,1,1.0
2022-09-29,13.085066,13.537226,12.54468,13.0501,86863350.0,GWIND,12.92422592866345,12.958854665900837,13.406653379773106,12.423680931394074,0,-0.02606833141782472,-0.09149070960645489,-0.028063067424349608,0.031666686893927945,0.02946016441770529,13.757970762912555,11.593979714777534,7.5047993355528595,0.7221281143969926,43.005452067242146,0.49825535906074236,0.7229371914785506,-0.22468183241780826,0.28201699786374324,0.7234008571428571,3962072880.0,0.2823963034766017,1,1,0.2957755112987639,1,1,0.6000030651106121,1,1,0.6126849602685036,1,1,0.2119753871617842,1,1,0.13521735465628604,1,1,1.0
2022-09-30,13.1613455,13.380992,12.866339,13.335,61394483.0,GWIND,13.206377940301385,13.034398415889381,13.251926326820346,12.742237385979706,0,0.021831250335246466,-0.05657040170928074,-0.08742514970059878,0.024478426077557923,0.029495505668741866,13.694711865954417,11.692094140165281,7.54765791911075,0.7497319144343699,45.833153417677785,0.43844363980443823,0.6660384811437282,-0.22759484133928998,0.0,0.7260267142857143,4023467363.0,0.32598425196850367,1,1,0.3756055493063366,1,1,0.7215748031496061,1,1,0.5506561679790025,1,1,0.21571803524559452,1,1,0.12956880389951242,1,1,1.0
2022-10-04,13.972844,14.355158,13.638318,14.2265,157622072.0,GWIND,14.089279022699486,13.83806964865936,14.216696058548251,13.506770302063389,0,0.06685414323209593,0.0164181557081311,-0.03310542627229229,0.029145240065669546,0.03037535657470519,13.670591780859851,11.811507130531222,7.594624988524311,0.8551645465034519,51.42403531530135,0.45701695305926826,0.6242341755268362,-0.16721722246756798,3.75370119167433,0.7352199642857142,4181089435.0,0.2293255544230839,1,1,0.30490985133377846,1,1,0.6873370119143851,1,1,0.4702843285418059,1,1,0.2428917864548552,1,1,0.0645977577056902,1,1,1.0
2022-10-05,15.110595,15.55908,14.46544,15.2742,326147826.0,GWIND,15.126873485995606,14.964846529645925,15.409005690542518,14.325914339164099,0,0.07364425543879372,0.11543433015664362,0.03358393276446581,0.03362437792224925,0.031177314544921748,13.695167429047974,11.951125334450817,7.646867676632132,0.9781790565333612,67.5044654248533,0.5491315921052298,0.609213658842515,-0.06008206673728522,8.556320760751369,0.7385053928571429,4507237261.0,0.12214060310850994,1,1,0.251502533684252,1,1,0.4632975867803224,1,1,0.40794280551518236,1,1,0.12394757172225068,1,1,-0.025271372641447742,0,-1,1.0
2022-10-06,15.26591,15.5958395,15.035235,15.0904,155402995.0,GWIND,14.944846319484366,15.118663446766128,15.44541062866749,14.890213410667213,0,-0.012033363449476808,0.12619968058271258,0.05935457602369976,0.03259926247000742,0.03128100961611627,13.73703466770011,12.07982190837974,7.698243804507651,0.9413319062113257,69.48259042473362,0.6005225855721932,0.6074754441884507,-0.006952858616257496,8.240087220978953,0.737849,4351834266.0,0.14494645602502243,1,1,0.2472565339553623,1,1,0.5651606319249325,1,1,0.4031636006997825,1,1,0.13276652706356362,1,1,-0.022537507289402625,0,-1,1.0
2022-10-07,15.605029,16.285107,14.934143,16.0094,221047445.0,GWIND,15.854982152040568,15.454511491815776,16.12802983428929,14.79009648837693,0,0.060899644807294706,0.22676454586554873,0.14680515759312307,0.034508170287663065,0.03186749100275237,13.838516298561952,12.221078158727025,7.754564277480054,1.0446000039080015,72.55811599581632,0.7065460504516796,0.6272895654410965,0.07925648501058313,11.452698704426933,0.7798627142857143,4572881711.0,0.08438792209576862,1,1,0.1779579497045487,1,1,0.5843879220957688,1,1,0.3030969305533,1,1,0.08955363723812271,1,1,-0.0585531000537185,0,-1,1.0
2022-10-10,16.635258,17.093851,16.128874,16.3954,219940905.0,GWIND,16.237259008805196,16.474803470747815,16.92897313544798,15.97330377169108,0,0.02411083488450516,0.22950131233595772,0.19973071660117503,0.034019824791749045,0.031506730278201354,13.973674935937478,12.369615495734761,7.813014507914822,1.078232286956124,72.60064005389927,0.8120560807350472,0.6642428684998867,0.14781321223516053,15.994792919502476,0.7811727857142859,4792822616.0,0.049885943618332096,1,1,0.12331507617990445,1,1,0.5369920831452728,1,1,0.14910279712602326,1,1,0.05156934262049129,1,1,-0.019621357209949064,0,0,1.0
2022-10-11,16.733593,17.093851,16.02778,16.8549,200818364.0,GWIND,16.6923269250833,16.572189985540433,16.92897313544798,15.873184868691693,0,0.02802615367725103,0.18475380451973433,0.22840171999125425,0.03423227157153439,0.03154928138842138,14.128858542338344,12.52124868106956,7.873478129152186,1.1200702727907017,73.0589599205035,0.921768148144654,0.7157479244288403,0.20602022371581374,20.420527695813995,0.809400285714286,4993640980.0,0.023447187464772812,1,1,0.0916054085162179,1,1,0.4667366759814653,1,1,0.15594278221763402,1,1,0.04035028389370465,1,1,-0.0539783683083257,0,-1,1.0
2022-10-12,16.53876,17.020329,16.128874,16.2667,137056990.0,GWIND,16.109800378065284,16.37923623726576,16.85616028813438,15.97330377169108,0,-0.03489786352929991,0.06497885322962915,0.15535463158941432,0.03549890088533157,0.031510282365520705,14.237168667830735,12.66159380522974,7.931247490833001,1.0311811473144825,67.89226625625244,0.9507510616163319,0.7627485518663386,0.18800250974999333,18.791397378318187,0.834345285714286,4856583990.0,0.04011262272003524,1,1,0.19096067426091334,1,1,0.5604517203858188,1,1,0.1288153098046929,1,1,0.0802252454400707,1,1,-0.04519662869543317,0,-1,1.0
2022-10-13,16.258457,16.588385,15.991019,16.2208,133119354.0,GWIND,16.064343104165033,16.10163688549971,16.428382581869243,15.836778445034893,0,-0.0028217155292714624,0.07490855113184547,0.21473182859796003,0.032774762705870236,0.031450855786389745,14.379155799836813,12.796662320341104,7.988133951431417,1.0110257541796002,65.16574901563548,0.9589974812432231,0.8019983377417156,0.15699914350150757,21.056166694031077,0.8297502857142859,4723464636.0,0.05778999802722429,1,1,0.1728028210692445,1,1,0.5036804596567368,1,1,0.10821291181692616,1,1,0.06232121720260397,1,1,-0.04249482146379968,0,-1,1.0
2022-10-14,16.606766,16.946808,16.303488,16.7354,154535777.0,GWIND,16.573979556214457,16.446586288874922,16.78334843117533,16.146233541294965,0,0.03172469915170639,0.04534835783976909,0.28601287903238193,0.0319778497201147,0.03142565438144875,14.56346078181582,12.939556617116082,8.045557184196586,1.0600163763387016,70.3009866366929,0.9951843648039258,0.8406355431541577,0.15454882164976813,28.23963034766017,0.8487857142857145,4878000413.0,0.010432974413518759,1,0,0.2476666228473774,1,1,0.41351267373352285,1,1,0.009889216869629625,1,0,0.0411881401101859,1,1,-0.09225354637475058,0,-1,1.0
2022-10-17,17.692135,18.104774,17.020329,17.682,252944825.0,GWIND,17.51144917438388,17.521486417760332,17.930145329414476,16.85616028813438,0,0.056562735279706455,0.07847323029630249,0.32598425196850367,0.033348532559984996,0.03189492914119076,14.778714343519942,13.104476399109831,8.108279804165244,1.1596996647042452,75.54163259082654,1.0869786805552692,0.8899041706343801,0.19707450992088915,32.598425196850364,0.9019598571428574,5130945238.0,0.037422237303472716,1,1,0.2983372921615204,1,1,0.3378407419975118,1,1,-0.022865060513516444,0,-1,0.0005203031331297847,1,0,-0.13513177242393382,0,-1,1.0
2022-10-18,17.353935,18.031256,16.882477,17.489,212725007.0,GWIND,17.32031074600157,17.18654850854324,17.857336443519085,16.719637932541847,0,-0.010915054858047446,0.03762110721511269,0.27547076240902024,0.033660876088821005,0.03172165015303974,14.965752704060275,13.265573412535932,8.169697136835419,1.1200676666345428,76.71344716431364,1.1312625726199226,0.9381758510314887,0.19308672158843387,22.932555442308388,0.9413466428571429,4918220231.0,0.06148436159871906,1,1,0.3725713305506315,1,1,0.3515524043684599,1,1,0.007884956258219278,1,0,0.006832866373148727,1,0,-0.11613013894447943,0,-1,1.0
2022-10-19,17.466974,17.82907,17.07547,17.1398,159289735.0,GWIND,16.974478936721237,17.298497196656758,17.657100618229414,16.9107694284423,0,-0.019966836297101054,0.05367407034001981,0.21815455249710403,0.03427004375987754,0.03198610149997565,15.117747368806263,13.40992551121028,8.231352649775156,1.0621736984121202,76.12303050620186,1.1254783258035435,0.9756363459858997,0.1498419798176438,12.214060310850993,0.9577578214285716,4758930496.0,0.11528139184821296,1,1,0.30402338417017694,1,1,0.3426294355826789,1,1,0.07560181565712543,1,1,0.0632737838247821,1,1,-0.10348428803136567,0,-1,1.0
2022-10-20,17.032276,17.599312,16.634338,17.2777,194452353.0,GWIND,17.111048829332226,16.867992053957607,17.429558737253952,16.47389234456071,0,0.00804560146559452,0.06515708226474648,0.23929104263499168,0.03396657689357634,0.031715657187284314,15.282943459719798,13.54681429798676,8.294653141624444,1.0629010685769504,80.42401911396419,1.1190150090382698,1.0043120785963737,0.11470293044189606,14.494645602502242,0.9557883928571431,4953382849.0,0.08935795852457207,1,1,0.36701644316083737,1,1,0.28935564340161024,1,1,0.06276298349896114,1,1,0.01169715876534494,1,0,-0.10000173634222154,0,-1,1.0
2022-10-21,17.238134,17.507408,16.864094,17.3604,126399975.0,GWIND,17.19295115071677,17.0718644611593,17.338541192580127,16.701432244827068,0,0.004786516723869427,0.03734598515721155,0.2085796036005929,0.03369368775539044,0.03160916318062408,15.43130352326287,13.686979177618621,8.358057125524331,1.0570511654211976,79.83722722960157,1.107732367591444,1.024996136395388,0.082736231196056,8.438792209576862,0.9649784642857144,5079782824.0,0.08628833437017591,1,1,0.4610896062302714,1,1,0.34991705260247485,1,1,0.0947558812008944,1,1,-0.015351028778138542,0,0,-0.13711089606230253,0,-1,1.0
