symbol,date,score,rank,percentile,bucket,signal
ARDYZ,2025-11-17,0.003916431842562244,75,0.3333333333333333,3,HOLD
TAVHL,2025-11-17,0.003848814261477051,76,0.32432432432432434,3,HOLD
TLMAN,2025-11-17,0.0037313318027255085,77,0.3153153153153153,3,HOLD
SASA,2025-11-17,0.0037148080566928427,78,0.3063063063063063,3,HOLD
VBTYZ,2025-11-17,0.003641271828230069,79,0.2972972972972973,2,HOLD
BRISA,2025-11-17,0.0036384053256913254,80,0.2882882882882883,2,HOLD
AYDEM,2025-11-17,0.0036331438985255176,81,0.27927927927927926,2,HOLD
AKSEN,2025-11-17,0.0035714887964878343,82,0.2702702702702703,2,HOLD
BIMAS,2025-11-17,0.0034556549125571616,83,0.26126126126126126,2,HOLD
FONET,2025-11-17,0.003441043978730575,84,0.25225225225225223,2,HOLD
PENTA,2025-11-17,0.0033344447803365027,85,0.24324324324324326,2,HOLD
ARCLK,2025-11-17,0.0032949190565264314,86,0.23423423423423423,2,HOLD
CIMSA,2025-11-17,0.003266249751914166,87,0.22522522522522523,2,HOLD
GUBRF,2025-11-17,0.003196371935066362,88,0.21621621621621623,2,HOLD
CCOLA,2025-11-17,0.00309557806193135,89,0.2072072072072072,2,HOLD
ALFAS,2025-11-17,0.0029954130723772654,90,0.1981981981981982,1,HOLD
MIATK,2025-11-17,0.0029912903990587233,91,0.1891891891891892,1,HOLD
MAVI,2025-11-17,0.0029721705403189824,92,0.18018018018018017,1,HOLD
SDTTR,2025-11-17,0.0029631656587948874,93,0.17117117117117117,1,HOLD
ASTOR,2025-11-17,0.0029586836516307686,94,0.16216216216216217,1,HOLD
CLEBI,2025-11-17,0.002819144029080961,95,0.15315315315315314,1,HOLD
PRKME,2025-11-17,0.0028036760069538483,96,0.14414414414414414,1,HOLD
TEKTU,2025-11-17,0.00272121204011512,97,0.13513513513513514,1,HOLD
SOKM,2025-11-17,0.00269926095141673,98,0.12612612612612611,1,HOLD
AKCNS,2025-11-17,0.002612566462891608,99,0.11711711711711711,1,HOLD
PAPIL,2025-11-17,0.002541691342241523,100,0.10810810810810811,1,HOLD
NUHCM,2025-11-17,0.002521302106633092,101,0.0990990990990991,0,HOLD
MAGEN,2025-11-17,0.0023638127782366325,102,0.09009009009009009,0,HOLD
MGROS,2025-11-17,0.002317404900338716,103,0.08108108108108109,0,HOLD
SARKY,2025-11-17,0.002092131333987676,104,0.07207207207207207,0,HOLD
TTRAK,2025-11-17,0.002061118289937214,105,0.06306306306306306,0,HOLD
SMRTG,2025-11-17,0.0020218193648881746,106,0.05405405405405406,0,HOLD
VESTL,2025-11-17,0.0019902362915459226,107,0.04504504504504504,0,HOLD
EUPWR,2025-11-17,0.0018961207337652713,108,0.036036036036036036,0,HOLD
AGHOL,2025-11-17,0.0018806100871596794,109,0.02702702702702703,0,HOLD
SMART,2025-11-17,0.0015866370549800937,110,0.018018018018018018,0,HOLD
TMSN,2025-11-17,0.0011345731921001598,111,0.009009009009009009,0,HOLD
