date,equity
2025-05-02,205960.38404278888
2025-05-05,207622.63178954087
2025-05-06,204338.16812017918
2025-05-07,203012.1585201792
2025-05-08,201510.1794554412
2025-05-09,197781.6961554412
2025-05-12,200966.5136554412
2025-05-13,199646.49385031188
2025-05-14,195885.13063805687
2025-05-15,195510.3503380569
2025-05-16,191892.82370392687
2025-05-20,188392.58523031487
2025-05-21,188532.56795617408
2025-05-22,191698.3503702242
2025-05-23,194952.11689180418
2025-05-26,194201.19119180416
2025-05-27,191680.97829180417
2025-05-28,189686.94218722015
2025-05-29,190920.54138722015
2025-05-30,192365.13378722017
2025-06-02,191759.03218722017
2025-06-03,192777.48693707198
2025-06-04,197077.31803707196
2025-06-05,197897.77023707196
2025-06-10,200646.67213707196
2025-06-11,199646.24363439195
2025-06-12,197264.92513439196
2025-06-13,199050.83573439193
2025-06-16,200684.44810935415
2025-06-17,200516.69915475414
2025-06-18,197969.49105388616
2025-06-19,200050.88325388616
2025-06-20,196393.61120848617
2025-06-23,199627.09645388616
2025-06-24,198693.35120848616
2025-06-25,199329.95145388617
2025-06-26,199108.40765388616
2025-06-27,200036.21425388617
2025-06-30,205711.25145388613
2025-07-01,208435.41205388616
2025-07-02,208005.22550413362
2025-07-03,209621.8208041336
2025-07-04,210766.9045890536
2025-07-07,207895.89538905362
2025-07-08,203677.2074890536
2025-07-09,207156.04478905362
2025-07-10,212660.12608905358
2025-07-11,217633.78798905358
2025-07-14,220318.19318905362
2025-07-16,217898.74164140012
2025-07-17,216117.6915960001
2025-07-18,219647.7670210941
2025-07-21,227336.27282109414
2025-07-22,229249.35882109415
2025-07-23,227714.93482109415
2025-07-24,230101.9338210941
2025-07-25,230505.21242109413
2025-07-28,236325.1848210941
2025-07-29,237912.9231428941
2025-07-30,237771.72367356412
2025-07-31,235069.69756696254
2025-08-01,234941.65588971454
2025-08-04,235947.44748971454
2025-08-05,237358.79208971452
2025-08-06,239565.04508971455
2025-08-07,242290.85059403453
2025-08-08,243629.5395940345
2025-08-11,247169.30979403452
2025-08-12,247920.88286003453
2025-08-13,249893.13826003455
2025-08-14,248001.32548146896
2025-08-15,249027.57288146895
2025-08-18,249531.04988146896
2025-08-19,247361.98088146895
2025-08-20,251031.35268146897
2025-08-21,254537.37048146897
2025-08-22,258599.57068146896
2025-08-25,250636.29943606895
2025-08-26,261290.34628146896
2025-08-27,259320.51788146896
2025-08-28,261990.18847489895
2025-08-29,259656.58067489896
2025-09-01,264002.047474899
2025-09-02,254938.808365779
2025-09-03,259609.20976577897
2025-09-04,268022.458565779
2025-09-05,264131.938765779
2025-09-08,258621.05596577894
2025-09-09,265062.266948659
2025-09-10,269413.965748659
2025-09-11,266473.13396461157
2025-09-12,265587.9660646115
2025-09-15,282101.72426461155
2025-09-16,291323.59807565156
2025-09-17,289183.01624935155
2025-09-18,302159.3630756515
2025-09-19,294622.05233025155
2025-09-22,318705.2367368116
2025-09-23,316671.80993681157
2025-09-24,318711.5775368116
2025-09-25,319071.26093681157
2025-09-26,315635.30003681156
2025-09-29,315714.0165368116
2025-09-30,315655.4425368116
2025-10-01,322189.07823681156
2025-10-02,319722.3245103516
2025-10-03,317994.7452103516
2025-10-06,320520.51591035165
2025-10-07,324510.2260103516
2025-10-08,326397.7811103516
2025-10-09,326682.6221421116
2025-10-10,324462.37838945736
2025-10-13,320744.9208821044
2025-10-14,317915.9633821044
2025-10-15,321040.3164404644
2025-10-16,325657.6992404644
2025-10-17,321252.37348646444
2025-10-20,327898.9979864644
2025-10-21,329644.7902864644
2025-10-22,334268.9640864644
2025-10-23,338534.1358864644
2025-10-24,328955.4194647444
2025-10-27,332391.2689056153
2025-10-28,321072.40555522335
2025-10-30,321759.5593005789
2025-10-31,338798.070426879
2025-11-03,342932.496826879
2025-11-04,336781.79412687896
2025-11-05,339654.924726879
2025-11-06,334596.5978005789
2025-11-07,341031.38362687896
2025-11-10,340942.28022687894
2025-11-11,330509.8656197289
2025-11-12,332507.4220197289
2025-11-13,330920.33211972896
2025-11-14,332608.357219729
2025-11-17,341793.350019729
2025-11-18,341226.3837197289
2025-11-19,343878.718719729
2025-11-20,344387.682819729
2025-11-21,344042.350219729
2025-11-24,341635.00131972897
2025-11-25,338124.889477529
