symbol,period,item_code,item_name_tr,item_name_en,value
AKBNK,2020/3,2K,XI.  RİSKTEN KORUNMA AMAÇLI TÜREV FİNANSAL BORÇLAR,XI. DERIVATIVE FINANCIAL LIABILITIES FOR HEDGE PURPOSES,0
AKBNK,2020/3,2KA,11.1 Gerçeğe Uygun Değer Riskinden Korunma Amaçlılar,11.1 Hedging For Fair Value Risk,0
AKBNK,2020/3,2KB,11.2 Nakit Akış Riskinden Korunma Amaçlılar,11.2 Hedging For Cash Flow Risk,0
AKBNK,2020/3,2KC,11.3 Yurtdışındaki Net Yatırım Riskinden Korunma Amaçlılar,11.3 Hedging For Net Investments Risk in Abroad,0
AKBNK,2020/3,2L,XII.  KARŞILIKLAR,XII. PROVISIONS,268655778
AKBNK,2020/3,2LA,12.1 Genel Karşılıklar,12.1 General Loan Loss Provision,0
AKBNK,2020/3,2LB,12.2 Yeniden Yapılanma Karşılığı,12.2 Restructuring Provision,0
AKBNK,2020/3,2LC,12.3 Çalışan Hakları Karşılığı,12.3 Provision For Employ Benefits,69167667
AKBNK,2020/3,2LD,12.4 Sigorta Teknik Karşılıkları (Net),12.4 Insurance Technical Reserves (Net),0
AKBNK,2020/3,2LE,12.5 Diğer Karşılıklar,12.5 Other Provisions,199488111
AKBNK,2020/3,2M,XIII. VERGİ BORCU,XIII. TAX LIABILITIES,131053407
AKBNK,2020/3,2MA,13.1 Cari Vergi Borcu,13.1 Current Tax Liabilities,93277976
AKBNK,2020/3,2MB,13.2 Ertelenmiş Vergi Borcu,13.2 Deferred Tax Liabilities,37775431
AKBNK,2020/3,2N,XIV. SATIŞ AMAÇLI ELDE TUTULAN  DUV  BORÇ.,,0
AKBNK,2020/3,2NA,14.1 Satış Amaçlı,14.1 Held For Sale Purpose,0
AKBNK,2020/3,2NB,14.2 Durdurulan Faaliyetlere İlişkin,14.2 Held From Terminated Operations,0
AKBNK,2020/3,2NBA,XV.  SERMAYE BENZERİ KREDİLER,XV. SUBORDINATED LOANS,899332827
AKBNK,2020/3,2O,XVI. ÖZKAYNAKLAR,XVI. SHAREHOLDERS' EQUITY,8189869027
AKBNK,2020/3,2OA,16.1 Ödenmiş Sermaye,16.1 Paid-in Capital,790093444
AKBNK,2020/3,2OB,16.2 Sermaye Yedekleri,16.2 Capital Reserves,820577072
AKBNK,2020/3,2OC,16.2.1 Hisse Senedi İhraç Primleri,16.2.1 Share Premium,532666110
AKBNK,2020/3,2OD,16.2.2 Hisse Senedi İptal Karları,16.2.2 Share Cancellation Profits,0
AKBNK,2020/3,2OE,16.2.3 Menkul Değerler Değerleme Farkları,16.2.3 Valuation Changes Of Marketable Securities,0
AKBNK,2020/3,2OF,16.2.4 Maddi Duran Varlıklar Yeniden Değerleme Farkları,16.2.4 Revaluation Changes Of Property And Equipment,0
AKBNK,2020/3,2OG,16.2.5 Maddi Olmayan Duran Varlıklar Yeniden Değerleme Farkları,16.2.5 Revaluation Changes Of Intangible Assets,0
AKBNK,2020/3,2OH,16.2.6 Yatırım Amaçlı Gayrimenkuller Yeniden Değerleme Farkları,16.2.6 Revaluation changes of real estates for investment purpose,0
AKBNK,2020/3,2OI,16.2.7 İşt. Bağlı Ort. Bedelsiz Hisse Senetleri,,0
AKBNK,2020/3,2OJ,16.2.8 Riskten Korunma Fonları (Etkin kısım),16.2.8 Hedge Funds,0
AKBNK,2020/3,2OK,16.2.9 Satış Amaçlı Elde Tut. Dur. DUV Farkları,,0
AKBNK,2020/3,2OL,16.2.10 Diğer Sermaye Yedekleri,16.2.6 Other Capital Reserves,287910963
AKBNK,2020/3,2OM,16.3 Kar Yedekleri,16.3 Profit Reserves,5979588696
AKBNK,2020/3,2ON,16.3.1 Yasal Yedekler,16.3.1 Legal Reserves,269243637
AKBNK,2020/3,2OO,16.3.2 Statü Yedekleri,16.3.2 Status Reserves,0
AKBNK,2020/3,2OP,16.3.3 Olağanüstü Yedekler,16.3.3 Extraordinary Reserves,5668340500
AKBNK,2020/3,2OR,16.3.4 Diğer Kar Yedekleri,16.3.4 Other Profit Reserves,42004558
AKBNK,2020/3,2OT,16.4 Kar veya Zarar,16.4 Profit or Loss,199049913
AKBNK,2020/3,2OU,16.4.1 Geçmiş Yıllar Kar/Zararı,16.4.1 Prior Year Profit/Loss,0
AKBNK,2020/3,2OV,16.4.2 Dönem Net Kar/Zararı,16.4.2 Current Year Profit/Loss,199049913
AKBNK,2020/3,2OVA,16.5 Azınlık Payları,16.5 Minority Shares',0
AKBNK,2020/3,2Z,PASİF TOPLAMI,TOTAL LIABILITIES,59854490770
AKBNK,2020/3,3A,I. FAİZ GELİRLERİ,I. INTEREST INCOME,1320230173
AKBNK,2020/3,3AA,1.1 Kredilerden Alınan Faizler,1.1 Interest on Loans,957489406
AKBNK,2020/3,3AB,1.2 Zorunlu Karşılıklardan Alınan Faizler,1.2 Interest Received From Reserve Deposits,2238707
AKBNK,2020/3,3AC,1.3 Bankalardan Alınan Faizler,1.3 Interest Received From Banks,16697006
AKBNK,2020/3,3AD,1.4 Para Piyasası İşlemlerinden Alınan Faizler,1.4 Interest Received From Money Market Transactions,7631296
AKBNK,2020/3,3AE,1.5 Menkul Değerlerden Alınan Faizler,1.5 Interest Received From Marketable Securities Portfolio,335022105
AKBNK,2020/3,3AF,1.5.1 Alım Satım Amaçlı  Finansal Varlıklardan,1.5.1 Trading Securities,0
